employee_id,first_name,last_name,department,position,salary
1,Jason,Tucker,Sales,Manager,50000
2,Austin,Hester,Engineering,Developer,60000
3,Daniel,Jackson,HR,Coordinator,45000
4,Samantha,Johnson,Marketing,Assistant,40000
5,Joseph,Harris,HR,Manager,55000
6,Samantha,Johnson,Sales,Executive,47000
7,Gina,Maldonado,Engineering,Developer,62000
8,Samantha,Johnson,Marketing,Manager,52000
9,Yesenia,Smith,Sales,Assistant,43000
10,Lori,Martin,Engineering,Developer,60000
11,Jonathan,Parrish,HR,Coordinator,47000
12,Samantha,Johnson,Marketing,Assistant,40000
13,Amanda,Brown,Sales,Manager,52000
14,Sarah,Murray,HR,Assistant,43000
15,Samantha,Johnson,Engineering,Developer,62000
16,Austin,Hester,Marketing,Assistant,45000
17,Jonathan,Parrish,Sales,Executive,55000
18,Yesenia,Smith,Engineering,Manager,65000
19,Daniel,Jackson,HR,Coordinator,46000
20,Gina,Maldonado,Sales,Executive,50000
21,Kimberly,Stewart,Engineering,Manager,65000
22,Samantha,Johnson,Sales,Manager,53000
23,Sarah,Murray,HR,Assistant,43000
24,Aaron,Kaufman,Engineering,Developer,60000
25,Tony,Henderson,Sales,Executive,48000
26,Sarah,Murray,HR,Manager,54000
27,Austin,Hester,Marketing,Coordinator,48000
28,Joseph,Harris,HR,Executive,50000
29,Gina,Maldonado,Sales,Manager,52000
30,Aaron,Kaufman,Marketing,Manager,60000
31,Daniel,Jackson,HR,Executive,48000
32,Aaron,Kaufman,Sales,Manager,53000
33,Aaron,Kaufman,HR,Manager,55000
34,Tony,Henderson,Marketing,Coordinator,47000
35,Yesenia,Smith,HR,Assistant,42000
36,Joseph,Harris,Engineering,Coordinator,48000
37,Jason,Tucker,Sales,Manager,49000
38,Matthew,Russell,Marketing,Assistant,45000
39,Lori,Martin,HR,Coordinator,46000
40,Samantha,Johnson,Sales,Executive,51000
41,Tony,Henderson,HR,Assistant,44000
42,Gina,Maldonado,Sales,Manager,55000
43,Sarah,Murray,HR,Coordinator,49000
44,Gina,Maldonado,Sales,Executive,53000
45,Austin,Hester,HR,Assistant,45000
46,Samantha,Johnson,Sales,Executive,52000
